model_split_seed,n,MAE,RMSE,R2,Pearson,Spearman,NDCG@10,Hit@10,NDCG@20,Hit@20,Top10_true_mean_brightness,Top10_true_max_brightness,Top10_enrichment
elasticnet_leave_position_seed0,75854,0.132386568596177,0.2096794270586146,0.6761475448991625,0.8223089279905624,0.820263147121423,1.088114162270902,0.4,2.1083955970351127,0.55,0.0068548163022601905,0.0618071877455528,0.02418808062975867
ridge_random_seed0,21172,0.09982382323004486,0.14774306665118692,0.8142991995829572,0.9024059977595741,0.8502137363822506,4.023564988708831,0.4,25.667923085657062,0.5,-0.00941981156273329,0.0445377536407736,-0.03882347024191948
elasticnet_random_seed0,21172,0.11769488279376504,0.1822593929382995,0.7173952898470096,0.8476501303778554,0.7974131286811831,1.0360767884784834,0.8,0.9431810354250078,0.55,0.00760629574859748,0.0349059725899885,0.03134911931945555
mlp_ranker_random_seed0_lambda0.5,21172,0.10490361658062748,0.158224970555056,0.7870147126567462,0.9570441343815779,0.8396742761467918,2.0040569932539087,0.5,3.509867484173142,0.6,0.006962430209472891,0.0993921647847824,0.028695446851431394
ridge_mutation_count_seed0,86368,0.13826749265030627,0.2371880147024772,0.6157037382100581,0.8065606301004339,0.8510895706780708,25.007289384013834,0.1,27.249682948624237,0.05,-0.053121002530353144,0.0108821612280671,-0.15925599984972547
mlp_ranker_random_seed2_lambda0.5,21172,0.11187589503779966,0.15425663402665787,0.7974861806972575,0.955593193575194,0.8285464930712454,15.283957685919894,0.9,10.315696075449358,0.75,0.025660221948495772,0.0617296501759305,0.10568068254681769
lgbm_reg_mutation_count_seed0,86368,0.1013503792147589,0.20105002092847318,0.723885683589645,0.8704568586215056,0.8954359808549778,6.629903361319397,0.9,12.079857904372023,0.9,0.052524100363633974,0.0674536281763831,0.15746649575821267
lgbm_reg_leave_position_seed0,75854,0.06114317246041603,0.11744434017421834,0.8983985898084412,0.9480226433543303,0.907579206913495,11.179924673203681,0.4,9.216358243008266,0.4,-0.019218039657515,0.0314422241596366,-0.06781326767700567
mlp_ranker_random_seed1_lambda0.5,21172,0.10221338899889378,0.14601042147425256,0.8188262152428168,0.9506678406406726,0.8291923896729724,2.3913539246512325,0.4,2.549756287012809,0.5,2.519092381975986e-05,0.0298547013800039,0.00010365147093283625
lgbm_reg_random_seed0,21172,0.05269235664307663,0.10476139092899965,0.9066311372513662,0.952189268707147,0.9060322418774543,2.601750099712295,0.9,3.6355174539447086,0.8,0.016460517324548403,0.0497991022211896,0.06784152742974557
elasticnet_mutation_count_seed0,86368,0.1433785780456028,0.27809055285057255,0.4717334025767299,0.7331634346122657,0.8512598090497097,4.424200909785653,0.9,8.440123682906004,0.9,0.03314508701175724,0.0571650352431996,0.0993684930766772
ridge_leave_position_seed0,75854,0.1489016834444387,0.20448677338007148,0.6919891638816644,0.8382743462575701,0.7643600148430013,13.275433527218677,0.1,10.434317396065298,0.25,-0.02942697948202892,0.0618071877455528,-0.10383679460044445
